b'pomiarI_1: -40.10 [A], pomiarV_2: 0.54 [V], pomiarI_2: -28.76 [A], \r\n'
b'czas: 10625 [s], pomiarVT_0: 5.37 [V], pomiarVT_1: 5.46 [V], pomiarI_0: -38.66 [A], pomiarI_1: -41.90 [A], pomiarV_2: 0.57 [V], pomiarI_2: -32.48 [A], \r\n'
b'czas: 10763 [s], pomiarVT_0: 5.25 [V], pomiarVT_1: 5.52 [V], pomiarI_0: -38.66 [A], pomiarI_1: -41.90 [A], pomiarV_2: 0.58 [V], pomiarI_2: -28.58 [A], \r\n'
b'czas: 10901 [s], pomiarVT_0: 4.98 [V], pomiarVT_1: 5.34 [V], pomiarI_0: -38.60 [A], pomiarI_1: -41.30 [A], pomiarV_2: 0.55 [V], pomiarI_2: -26.78 [A], \r\n'
b'czas: 11039 [s], pomiarVT_0: 4.98 [V], pomiarVT_1: 5.25 [V], pomiarI_0: -38.72 [A], pomiarI_1: -40.46 [A], pomiarV_2: 0.55 [V], pomiarI_2: -26.84 [A], \r\n'
b'czas: 11177 [s], pomiarVT_0: 4.98 [V], pomiarVT_1: 5.16 [V], pomiarI_0: -38.90 [A], pomiarI_1: -39.98 [A], pomiarV_2: 0.55 [V], pomiarI_2: -30.56 [A], \r\n'
b'czas: 11315 [s], pomiarVT_0: 5.07 [V], pomiarVT_1: 5.13 [V], pomiarI_0: -39.14 [A], pomiarI_1: -39.98 [A], pomiarV_2: 0.55 [V], pomiarI_2: -33.98 [A], \r\n'
b'czas: 11453 [s], pomiarVT_0: 5.31 [V], pomiarVT_1: 5.22 [V], pomiarI_0: -39.26 [A], pomiarI_1: -40.46 [A], pomiarV_2: 0.56 [V], pomiarI_2: -38.00 [A], \r\n'
b'czas: 11591 [s], pomiarVT_0: 5.49 [V], pomiarVT_1: 5.22 [V], pomiarI_0: -39.14 [A], pomiarI_1: -40.88 [A], pomiarV_2: 0.57 [V], pomiarI_2: -39.92 [A], \r\n'
b'czas: 11729 [s], pomiarVT_0: 5.55 [V], pomiarVT_1: 5.52 [V], pomiarI_0: -39.02 [A], pomiarI_1: -41.24 [A], pomiarV_2: 0.56 [V], pomiarI_2: -40.70 [A], \r\n'
b'czas: 11867 [s], pomiarVT_0: 5.52 [V], pomiarVT_1: 5.55 [V], pomiarI_0: -38.90 [A], pomiarI_1: -41.48 [A], pomiarV_2: 0.57 [V], pomiarI_2: -37.94 [A], \r\n'
