b'czas: 75948 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 7.02 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 76081 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.10 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 76213 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.58 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 76346 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.75 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 76479 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.77 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 76611 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.54 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 76744 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.94 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 76877 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.50 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 77010 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.93 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 77143 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.64 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 77276 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.56 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 77409 [s], pomiarVT_0: 0.51 [V], pomiarVT_1: 7.08 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 77541 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.07 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 77674 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.25 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 77806 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 7.05 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 77939 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.77 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 78072 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.18 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 78205 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.48 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 78338 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.59 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 78470 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.87 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 78603 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.64 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 78736 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.47 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
